epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6965,4.21735,6.94471,1.4958,0,0,0,0,4.94101,8.93142,1.48203,2e-05,2e-05,2e-05
2,28.8784,4.14944,6.92222,1.47771,0,0,0,0,4.8817,9.09844,1.48434,5.9703e-05,5.9703e-05,5.9703e-05
3,30.5884,3.77723,6.30874,1.37519,0,0,0,0,4.8374,9.16195,1.48431,9.901e-05,9.901e-05,9.901e-05
4,32.6836,4.5139,7.5861,1.53151,0.01583,0.33929,0.01258,0.00399,2.81591,3.45215,0.9985,0.000137921,0.000137921,0.000137921
5,35.2666,2.50461,2.86949,0.97704,0.25901,0.57143,0.38101,0.11753,2.88244,19.6645,1.00062,0.000176436,0.000176436,0.000176436
6,37.4323,1.93603,3.44728,0.88854,0.47314,0.46506,0.44311,0.13769,2.66983,4.31042,0.98282,0.000214555,0.000214555,0.000214555
7,39.8967,2.08636,1.90449,0.90225,0.406,0.60714,0.50562,0.16315,2.1225,2.19465,0.89191,0.000252278,0.000252278,0.000252278
8,42.2337,1.86648,1.414,0.84968,0.62445,0.69643,0.623,0.25453,2.25512,2.02347,0.92657,0.000289605,0.000289605,0.000289605
9,44.7793,1.62149,1.0312,0.84134,0.70755,0.69133,0.72923,0.35742,1.86993,2.28491,0.90793,0.000326536,0.000326536,0.000326536
10,48.4058,1.66184,1.05942,0.8122,0.19975,0.66071,0.17032,0.07514,1.96644,13.2408,0.93057,0.000363071,0.000363071,0.000363071
11,50.4048,1.73198,1.07985,0.81793,0.22371,0.57143,0.20523,0.07571,2.20156,10.2765,0.94107,0.00039921,0.00039921,0.00039921
12,52.567,1.58114,0.89021,0.81118,0.3508,0.78571,0.32653,0.15091,1.84796,5.77258,0.88322,0.000434953,0.000434953,0.000434953
13,54.6114,1.61026,0.93238,0.83113,0.17782,0.74924,0.16289,0.07268,1.86776,6.86901,0.87717,0.0004703,0.0004703,0.0004703
